,playerId,squadId,firstName,lastName,displayName,position,price,gameWeekPoints,averagePoints,last3Average,bonusPoints,totalPoints,percentSelected,form,goals,assists,minutesPlayed,shotsOnTarget,chancesCreated,tackles,cleanSheet,saves,goalsConceded,yellowCards,redCards,ownGoals,penaltyMisses,penaltySaves,bonusPpm,dribbles,crosses,offsides,passCompletionRate,interceptions,blocks,foulsWon,foulsMade,goalsOutsideArea,errorsLeadingToGoal,averagePoints_per_price,totalPoints_per_price
220,554468,595,Calixte,Ligue,C. Ligue,FWD,4.5,,1.6,0,0,44,0,,0,1,1983,1,1,50,0,,0,4,0,0,0,0,370,22,7,0,75,33,9,22,27,0,0,0.35555555555555557,9.777777777777779
221,554471,3573,Antonio,Spagnoli,A. Spagnoli,GK,3.5,,0.0,0,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
222,555917,249,Simone,Stroscio,S. Stroscio,MID,4.0,,0.8,0,0,3,0,,0,0,63,0,0,0,0,,0,1,0,0,0,0,9,0,0,0,73,3,1,1,3,0,0,0.2,0.75
223,557020,1269,Kevin,Spadanuda,K. Spadanuda,MID,6.0,,2.3,0,0,84,0,,4,5,1680,15,3,40,3,,0,2,0,0,1,0,390,25,5,1,79,16,4,50,23,0,0,0.3833333333333333,14.0
224,557107,3573,Brian,Beyer,B. Beyer,FWD,5.0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
225,557668,249,Evans,Maurin,E. Maurin,FWD,5.0,,1.5,0,0,23,0,,1,1,744,6,2,18,0,,0,5,0,0,0,0,119,5,6,1,70,6,0,11,24,0,0,0.3,4.6
226,559798,5194,Dion,Kacuri,D. Kacuri,MID,4.5,,1.4,0,0,23,0,,0,1,716,0,0,18,2,,0,3,0,0,0,0,141,9,2,1,81,7,4,6,9,0,0,0.3111111111111111,5.111111111111111
227,559971,595,Cosimo,Fiorini,C. Fiorini,MID,4.0,,1.0,0,0,4,0,,0,0,116,0,0,2,0,,0,0,0,0,0,0,20,0,0,0,77,1,1,1,2,0,0,0.25,1.0
228,560534,595,Miguel,Reichmuth,M. Reichmuth,MID,4.5,,1.5,0,1,19,0,,0,0,653,0,0,24,1,,0,1,0,0,0,0,146,8,1,0,80,7,2,10,7,0,0,0.3333333333333333,4.222222222222222
229,560535,1269,Mauricio,Willimann,M. Willimann,DEF,4.5,,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
230,560536,210,Théo,Magnin,T. Magnin,DEF,5.0,,2.2,0,9,58,0,,0,1,1537,3,0,53,4,,27,2,0,0,0,0,378,14,9,0,72,26,2,21,16,0,0,0.44000000000000006,11.6
231,564153,453,Tom,Gaal,T. Gaal,DEF,5.5,,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
232,564601,490,Beyatt,Lekoueiry,B. Lekoueiry,MID,5.0,,1.4,0,0,13,0,,0,1,315,0,0,5,0,,0,1,0,0,0,0,49,3,0,0,78,0,0,5,5,0,0,0.27999999999999997,2.6
233,568404,249,Jonathan Asp,Jensen,J. Jensen,MID,5.5,,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
234,569716,1963,Théo,Golliard,T. Golliard,MID,5.0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
235,576358,490,Diogo,Carraco,D. Carraco,MID,4.5,,0.6,0,0,5,0,,0,0,233,2,0,12,0,,0,1,1,0,0,0,36,3,1,0,79,2,1,5,7,0,0,0.13333333333333333,1.1111111111111112
236,578329,481,Finn,van Breemen,F. van Breemen,DEF,5.5,,2.3,0,2,35,0,,0,0,734,1,1,18,4,,7,2,0,0,0,0,232,2,3,0,81,10,6,4,11,0,0,0.41818181818181815,6.363636363636363
237,580095,595,Selmin,Hodza,S. Hodza,DEF,4.0,,1.0,0,0,2,0,,0,0,54,0,0,3,0,,0,0,0,0,0,0,11,0,0,0,86,1,0,0,1,0,0,0.25,0.5
238,581185,481,Jonas,Adjetey,J. Adjetey,DEF,6.0,,3.1,0,11,99,0,,0,0,2599,0,0,62,10,,35,2,0,0,0,0,762,7,0,0,87,35,38,9,17,0,1,0.5166666666666667,16.5
239,581511,1963,Marvin,Keller,M. Keller,GK,7.5,,5.5,0,9,115,0,,0,0,1890,0,0,0,7,72.0,21,1,0,0,0,2,539,1,0,0,75,0,0,3,0,0,1,0.7333333333333333,15.333333333333334
240,581852,481,Marin,Soticek,M. Soticek,MID,6.0,,2.1,0,0,60,0,,4,3,868,7,2,14,0,,0,1,0,0,0,0,199,15,0,1,76,11,3,23,22,0,0,0.35000000000000003,10.0
241,588170,481,Gabriel,Sigua,G. Sigua,MID,4.5,,1.0,0,0,16,0,,0,0,280,1,1,7,0,,0,1,0,0,0,0,48,3,1,0,54,1,1,6,8,0,0,0.2222222222222222,3.5555555555555554
